request_id,cluster_id,use_case,member_count
929045,9,Код и разработка,11
637707,3,Задачи и Jira,3
596407,9,Код и разработка,11
957104,13,Задачи и Jira,4
292382,12,Документы и Confluence,13
47605,8,Сводка по почте,8
719281,11,Команда и проекты,4
453390,12,Документы и Confluence,13
424370,1,CRM и клиенты,6
369668,11,Команда и проекты,4
677127,1,CRM и клиенты,6
393500,11,Команда и проекты,4
39335,-1,Нераспределённые сценарии,6
549705,14,Сводка по почте,7
519503,12,Документы и Confluence,13
373191,8,Сводка по почте,8
984733,9,Код и разработка,11
192747,-1,Нераспределённые сценарии,6
15874,5,Задачи и Jira,5
542955,1,CRM и клиенты,6
207956,12,Документы и Confluence,13
672242,6,Команда и проекты,9
590583,6,Команда и проекты,9
945338,10,Задачи и Jira,5
43256,8,Сводка по почте,8
569306,7,Сводка по почте,5
485090,2,Отчёты и аналитика,5
911976,-1,Нераспределённые сценарии,6
140213,4,Другое,6
516239,14,Сводка по почте,7
182830,9,Код и разработка,11
966899,9,Код и разработка,11
86145,6,Команда и проекты,9
403437,6,Команда и проекты,9
795165,7,Сводка по почте,5
620077,3,Задачи и Jira,3
668021,6,Команда и проекты,9
301378,10,Задачи и Jira,5
980288,10,Задачи и Jira,5
887328,8,Сводка по почте,8
881142,4,Другое,6
342703,13,Задачи и Jira,4
672248,-1,Нераспределённые сценарии,6
302262,14,Сводка по почте,7
413094,9,Код и разработка,11
69732,5,Задачи и Jira,5
668059,14,Сводка по почте,7
725115,9,Код и разработка,11
479917,2,Отчёты и аналитика,5
943567,10,Задачи и Jira,5
392893,3,Задачи и Jira,3
226955,-1,Нераспределённые сценарии,6
971778,8,Сводка по почте,8
279017,-1,Нераспределённые сценарии,6
278207,5,Задачи и Jira,5
67875,1,CRM и клиенты,6
485749,4,Другое,6
151653,12,Документы и Confluence,13
340710,9,Код и разработка,11
426963,2,Отчёты и аналитика,5
94448,7,Сводка по почте,5
366684,1,CRM и клиенты,6
401731,5,Задачи и Jira,5
267544,4,Другое,6
492100,6,Команда и проекты,9
900296,12,Документы и Confluence,13
648408,2,Отчёты и аналитика,5
244922,9,Код и разработка,11
824420,4,Другое,6
856502,12,Документы и Confluence,13
766452,8,Сводка по почте,8
516542,14,Сводка по почте,7
39819,6,Команда и проекты,9
766908,8,Сводка по почте,8
651067,0,Поиск информации,3
740622,13,Задачи и Jira,4
821411,12,Документы и Confluence,13
414262,6,Команда и проекты,9
518297,12,Документы и Confluence,13
455010,4,Другое,6
244381,0,Поиск информации,3
544352,12,Документы и Confluence,13
345470,10,Задачи и Jira,5
641324,9,Код и разработка,11
159927,7,Сводка по почте,5
914685,6,Команда и проекты,9
620706,12,Документы и Confluence,13
181965,12,Документы и Confluence,13
323901,9,Код и разработка,11
780691,1,CRM и клиенты,6
368015,12,Документы и Confluence,13
435412,2,Отчёты и аналитика,5
940011,14,Сводка по почте,7
953581,5,Задачи и Jira,5
195635,8,Сводка по почте,8
574595,7,Сводка по почте,5
693239,11,Команда и проекты,4
977419,14,Сводка по почте,7
4121,0,Поиск информации,3
951754,13,Задачи и Jira,4
