class_id,class_name,description
email_summary,Сводка по письмам за день,"Пользователь целый день не проверял почту и хочет получить краткую и структурированную сводку по письмам, обращается к агенту (голосом), описывает критерии важности писем и примерный шаблон саммаризации, агент выдает структурированную сводку по всем письмам в почте за прошедший день"
company_client_research,Исследование компании-клиента,"Пользователю необходимо собрать информацию по компании-клиенту, пользователь говорит агенту собрать информацию по коомпании: 1. Кто в дочерних компаниях Директор клиента 2. Есть ли там выигранные сделки"
email_monitoring_unanswered,Мониторинг неотвеченных писем,"Пользователь хочет автоматизировать отслеживание писем, в которых есть запрос на расчет цен и на которые нет ответа уже в течение 2-ух часов. Пользователь говорит создать периодическое задание на мониторинг почты по определенным правилам."
weekly_tender_notification,Уведомления о выигранных тендерах,"Пользователь хочет с определенной периодичностью уведомлять фокус-группу о списке продаж, в которых были выиграны тендеры за прошедшую неделю. Пользователь говорит создать периодическое задание на сбор информации из CRM и отправке этой аналитики в почту на фокус-группу"
project_team_vendor,Состав проектной команды и вендор,Пользователю необходимо собрать информацию по составу проектной команды и найти ответственное направление за вендора. Пользователь говорит агенту собрать информацию по критериям из CRM
company_open_source_summary,Саммари по компании из открытых источников,"Пользователю необходимо собрать информацию по компании, найти информацию по ней в открытых источниках и выдать саммаризацию по аналитике конкретной компании."
crm_to_excel,Сводный отчёт по клиенту в Excel,"Пользователю необходимо собрать информацию по клиенту и собрать ее в сводный отчет в Excel. Пользователь говорит агенту собрать информацию из CRM по определенному набору полей, с задачей выгрузить это в документ Excel."
coolfeedback_review,Отзыв руководителя в CoolFeedback,"Пользователь хочет написать отзыв руководителя в системе CoolFeedback после проведения мониторинга, сказав агенту тезисно главные моменты и договоренности после мониторинга."
pre_monitoring_note,Заметка перед мониторингом,Пользователю необходимо записать информацию перед мониторингом с сотрудником в заметку в анкетировании
isu_ticket_create_edit,Создание и правка тикетов в ИСУП,Пользователю необходимо добавиь новый тикет и отредактировать уже существующий в ИСУП.
weekly_tender_report_userstory,Еженедельный отчёт по тендерам,"Как менеджер по продажам, я хочу получать еженедельный отчет о выигранных тендерах за последние 7 дней, чтобы отслеживать эффективность работы отдела и планировать дальнейшие действия."
jira_my_tasks,Мои задачи в Jira,"Как сотрудник, я хочу видеть список задач, назначенных на меня в Jira, чтобы эффективно управлять своим рабочим временем и приоритетами."
jira_priority_tasks,Задачи Jira по приоритету,"Как сотрудник, я хочу видеть список задач в Jira, отфильтрованных по приоритету, чтобы сосредоточиться на наиболее важных задачах и эффективно планировать свою работу."
manager_observation_fix,Фиксация наблюдений руководителя,"Как руководитель, я хочу иметь возможность фиксировать свои наблюдения о работе сотрудников, чтобы отслеживать их прогресс и вовремя оказывать поддержку."
analysis_excel_export,Экспорт результатов анализа в Excel,"Как аналитик, я хочу иметь возможность экспортировать результаты анализа в формат Excel, чтобы удобно делиться данными с коллегами и использовать их в других инструментах."
data_excel_export,Выгрузка данных в Excel,"Как сотрудник, я хочу иметь возможность выгружать данные в формат excel, чтобы удобно анализировать их вне системы и использовать для отчетности."
supplier_blog_search,Поиск информации о поставщиках в блоге,"Пользователю необходима возможность быстро находить информацию о поставщиках в блоге, чтобы быть в курсе последних новостей и обновлений."
confluence_process_search,Поиск процессов в Confluence,"Пользователю необходимо быстро находить информацию о процессах в Confuence, чтобы эффективно выполнять свою работу и не тратить время на поиск нужных документов."
calendar_free_time_assistant,Поиск свободного времени в календаре,"Как помощник руководителя, я хочу иметь возможность быстро находить свободное время в календаре руководителя и планировать встречи, чтобы эффективно организовывать его рабочее время."
task_confirmation,Подтверждение выполнения задач,"Как руководитель, я хочу иметь возможность подтверждать выполнение задач, чтобы отслеживать прогресс команды и закрывать выполненные работы."
task_history_complete,История задач и отметки о выполнении,"Как сотрудник, я хочу иметь возможность добавлять задачи в историю и отмечать их как выполненные, чтобы отслеживать прогресс по своим задачам и иметь полную картину выполненной работы."
meeting_room_search,Поиск переговорной комнаты,"Пользователю необходимо быстро найти свободную переговорную комнату для встречи с большим количеством участников, чтобы эффективно планировать встречи и не тратить время на поиск подходящего места."
client_email_reply,Ответ клиенту по переписке,Пользователю необходимо прочитать переписку с клиентом и написать ему ответ
meeting_notes_quick,Быстрые итоги обсуждений,"Как сотрудник, я хочу иметь возможность быстро записывать итоги обсуждений с коллегами, чтобы не забыть детали и иметь возможность вернуться к ним позже."
client_contacts_by_company,Контакты клиента по названию компании,Пользователю необходимо быстро найти контакты клиента по названию компании
large_meeting_scheduling,Встреча на большое количество коллег,"Пользователь хочет создать встречу на большое количество коллег, дает задание агенту со списком коллег для проверки свободных слотов, совпадающих у всех"
meeting_body_attachment_info,Информация из тела встречи,"Пользователь хочет узнать информацию, которая прилагалась в текстовом формате в теле встречи"
reminders_planned_tasks,Напоминания по запланированным делам,"Создание напоминаний для пользователя по запланированным делам, например, договоренности о проведении работ после встречи с клиентом. Также позволяет автоматически структурировать и группировать список запланированных дел."
tomorrow_meetings,Встречи на завтра,"Пользователь хочет узнать список запланированных встреч на следующий день, чтобы подготовиться к ним"
project_tickets_from_emails,Тикеты в Project из писем,"Пользователь создает тикеты на доске в Project на основе пришедших писем в почте, что позволяет оперативно заводить и актуализировать тикеты на личной доске"
isup_status_monitoring,Мониторинг статусов проектов в ИСУП,"Пользователь хочет мониторить с периодичность статус проектов в ИСУП, необходимо контролировать определенные статусы и подсвечивать пользователю тот или иной переход, для оперативности реагирования"
