request_id,dialog_id,user_id,created_at,first_user_message,summary,goal,intent,is_work,automation_candidate,periodicity,complexity,steps_requested,integrations,integration_count,tools,tool_calls,uses_company_data,company_sources,requires_generation,search_type,contains_sensitive_data,prompt_injection,agent_failed,failure_reason,language,class_ids,class_names,classification_scores,confidence,user_tokens,assistant_tokens,tool_tokens,total_tokens,estimated_cost,burned_tokens,useful_messages,useless_messages,analysis_status,metadata_confidence,cluster_id,use_case,member_count
1,1,usr_000001,2026-06-03T10:18:00Z,Нужно ответить клиенту после вчерашней встречи: собери из переписки договорённости и подготовь спокойное письмо с планом следующих шагов.,,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,97,493,114660,115250,0.011525,0,0,0,skipped,0.0,3,Сводка по почте,35
2,2,usr_000021,2026-06-25T14:10:00Z,"Собери черновик ТЗ по итогам обсуждения: интеграция CRM с витриной, роли пользователей, сроки и открытые вопросы. Без канцелярита, пожалуйста.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,115,493,113603,114211,0.0114211,0,0,0,skipped,0.0,1,CRM и клиенты,20
3,3,usr_000001,2026-06-11T10:06:00Z,"Найди по компании клиента Орбита: кто принимает решения в дочерних обществах, какие у нас были сделки и что нового появилось в открытых источниках.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,102,491,111252,111845,0.0111845,0,0,0,skipped,0.0,4,CRM и клиенты,5
4,4,usr_000004,2026-06-30T15:42:00Z,Не могу быстро найти актуальный порядок согласования закупки. Посмотри в базе знаний и дай ссылки именно на действующие документы.,,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,88,497,121335,121920,0.012192,0,0,0,skipped,0.0,5,CRM и клиенты,20
5,5,usr_000013,2026-06-24T16:04:00Z,"Сделай короткий отчёт по выигранным тендерам за последние семь дней: сумма, ответственный, отрасль и что важно вынести на планёрку.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,106,495,115807,116408,0.0116408,0,0,0,skipped,0.0,5,CRM и клиенты,20
6,6,usr_000009,2026-07-16T10:59:00Z,"Нужна выгрузка по клиентам из CRM для руководителя: активные сделки, стадия, сумма и последняя активность. Проверь, чтобы не было дублей.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,92,490,111542,112124,0.0112124,0,0,0,skipped,0.0,1,CRM и клиенты,20
7,7,usr_000019,2026-06-05T12:03:00Z,"Покажи мои задачи на эту неделю, отдельно просроченные и блокированные. Для двух самых срочных собери контекст из комментариев.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,93,490,114665,115248,0.0115248,0,0,0,skipped,0.0,3,Сводка по почте,35
8,8,usr_000016,2026-07-10T16:06:00Z,"Проверь статусы проектов в ИСУП. Интересуют переходы в риск, просрочки контрольных точек и проекты без обновления больше недели.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,99,491,117472,118062,0.0118062,0,0,0,skipped,0.0,0,Команда и проекты,15
9,9,usr_000018,2026-06-03T10:15:00Z,"Прочитай цепочку с Орбита, скажи, где мы обещали вернуться с расчётом, и предложи ответ без обещаний, которые пока не можем выполнить.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,89,497,113359,113945,0.0113945,0,0,0,skipped,0.0,2,Другое,5
10,10,usr_000004,2026-06-09T09:01:00Z,"Собери из записи встречи итоги, решения, владельцев и дедлайны. Потом подготовь короткое сообщение в командный чат.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,97,494,108793,109384,0.0109384,0,0,0,skipped,0.0,3,Сводка по почте,35
11,11,usr_000022,2026-06-22T14:59:00Z,"Почему контейнер API упал утром? Посмотри логи, последние деплои и связанные задачи. Нужен человеческий вывод: причина, влияние, что уже сделано.",,,,False,False,none,simple,1,,0,,0,False,,,,False,False,False,,ru,,,,0.0,70,299,101602,101971,0.0101971,0,0,0,skipped,0.0,0,Команда и проекты,15
